Method_List,CST,ConcreteFlow,autoMPG,RealEstate,NO2,PM10,BH,CPS,CCS,ASN,ADS,WineWhite,AQ,CCPP,EGSS
CART_RI,0.794 (0.125),0.831 (0.091),0.407 (0.028),0.575 (0.075),0.7 (0.04),0.854 (0.084),0.487 (0.082),0.881 (0.147),0.525 (0.029),0.458 (0.026),0.672 (0.026),0.773 (0.025),0.014 (0.002),0.22 (0.004),0.402 (0.009)
CART_RC,0.816 (0.121),0.858 (0.092),0.431 (0.033),0.637 (0.082),0.76 (0.046),0.903 (0.089),0.591 (0.101),0.893 (0.148),0.569 (0.026),0.545 (0.025),0.703 (0.028),0.788 (0.026),0.022 (0.002),0.227 (0.004),0.488 (0.008)
ACF_RC,0.301 (0.028),0.765 (0.065),0.349 (0.015),0.584 (0.079),0.661 (0.037),0.867 (0.077),0.381 (0.069),0.869 (0.135),0.395 (0.016),0.407 (0.02),0.674 (0.029),0.746 (0.021),0.002 (0.001),0.215 (0.004),0.314 (0.006)
