Method_List,Sonar,Seeds,Bankruptcy,Column2,Column3,Musk1,BreastCancerDiagnosis,ILPD,bloodDonation,PimaIndiansDiabetes,Vehicle,Biodeg,DiabeticRetinopathyDebrecen,Banknote,WaveForm
RandomForest,0.769 (0.038),0.896 (0.027),0.99 (0.011),0.831 (0.021),0.83 (0.026),0.803 (0.043),0.944 (0.011),0.697 (0.013),0.783 (0.009),0.759 (0.014),0.728 (0.021),0.852 (0.012),0.659 (0.011),0.985 (0.008),0.847 (0.005)
ExtraTrees,0.763 (0.034),0.904 (0.028),0.996 (0.004),0.754 (0.079),0.754 (0.044),0.82 (0.037),0.949 (0.01),0.706 (0.019),0.766 (0.009),0.744 (0.013),0.724 (0.017),0.852 (0.016),0.668 (0.015),0.995 (0.003),0.855 (0.005)
LGBM,0.795 (0.037),0.908 (0.025),0.988 (0.011),0.837 (0.026),0.837 (0.024),0.81 (0.031),0.954 (0.013),0.708 (0.014),0.769 (0.008),0.747 (0.014),0.748 (0.023),0.858 (0.007),0.664 (0.009),0.991 (0.006),0.85 (0.007)
XGBoost,0.81 (0.035),0.91 (0.023),0.99 (0.01),0.829 (0.029),0.825 (0.03),0.821 (0.038),0.96 (0.008),0.691 (0.01),0.775 (0.017),0.746 (0.018),0.763 (0.019),0.862 (0.009),0.676 (0.015),0.991 (0.008),0.851 (0.006)
PatchTrees,0.825 (0.027),0.943 (0.024),0.996 (0.004),0.848 (0.025),0.833 (0.031),0.86 (0.019),0.97 (0.009),0.709 (0.022),0.789 (0.009),0.758 (0.012),0.823 (0.016),0.879 (0.008),0.728 (0.015),1.0 (0.0),0.864 (0.005)
