Method_List,CST,ConcreteFlow,autoMPG,RealEstate,NO2,PM10,BH,CPS,CCS,ASN,ADS,WineWhite,AQ,CCPP,EGSS
RandomForest,0.621 (0.103),0.826 (0.104),0.375 (0.019),0.564 (0.072),0.667 (0.037),0.83 (0.093),0.443 (0.063),0.882 (0.135),0.382 (0.019),0.4 (0.023),0.671 (0.024),0.762 (0.028),0.005 (0.002),0.214 (0.004),0.347 (0.007)
ExtraTrees,0.608 (0.088),0.81 (0.128),0.376 (0.018),0.574 (0.076),0.692 (0.04),0.851 (0.085),0.419 (0.071),0.901 (0.137),0.388 (0.014),0.418 (0.026),0.675 (0.026),0.76 (0.026),0.008 (0.002),0.22 (0.004),0.335 (0.005)
LGBM,0.524 (0.084),0.83 (0.11),0.386 (0.022),0.575 (0.071),0.66 (0.033),0.798 (0.078),0.436 (0.057),0.886 (0.137),0.356 (0.025),0.39 (0.015),0.676 (0.023),0.776 (0.025),0.014 (0.002),0.221 (0.004),0.264 (0.003)
XGBoost,0.479 (0.069),0.791 (0.069),0.381 (0.02),0.575 (0.067),0.653 (0.034),0.785 (0.061),0.396 (0.054),0.897 (0.125),0.327 (0.022),0.314 (0.015),0.674 (0.025),0.779 (0.02),0.014 (0.002),0.207 (0.004),0.25 (0.003)
PatchTrees,0.307 (0.024),0.748 (0.058),0.356 (0.016),0.564 (0.074),0.647 (0.036),0.829 (0.075),0.378 (0.066),0.879 (0.141),0.373 (0.021),0.309 (0.016),0.661 (0.027),0.744 (0.019),0.002 (0.001),0.205 (0.004),0.236 (0.004)
